car_name,year,price,engine,power,transmission,mileage,vin_full
"Audi A4 allroad quattro, 2021",2021,3800000,"бензин, 2.0 л","245л.с.,",робот,100 000 км,WAU**************
"Audi A4 allroad quattro, 2021",2021,3320000,"бензин, 2.0 л","249л.с.,",автомат,104 000 км,WAU**************
"Audi A4 allroad quattro, 2020",2020,4450000,"бензин, 2.0 л","245л.с.,",робот,83 000 км,WAU**************
"Audi A4 allroad quattro, 2020",2020,3990000,"бензин, 2.0 л","249л.с.,",робот,87 570 км,WAU**************
"Audi A4 allroad quattro, 2019",2019,3300000,"бензин, 2.0 л","249л.с.,",робот,129 900 км,WAU**************
"Audi A4 allroad quattro, 2019",2019,3350000,"бензин, 2.0 л","249л.с.,",робот,100 000 км,WAU**************
"Audi A4 allroad quattro, 2019",2019,2650000,"бензин, 2.0 л","245л.с.,",робот,121 179 км,WAU**************
"Audi A4 allroad quattro, 2019",2019,3400000,"бензин, 2.0 л","249л.с.,",робот,82 000 км,WAU**************
"Audi A4 allroad quattro, 2020",2020,3550000,"бензин, 2.0 л","245л.с.,",робот,102 000 км,WAU**************
"Audi A4 allroad quattro, 2016",2016,2500000,"бензин, 2.0 л","249л.с.,",робот,165 120 км,WAU**************
"Audi A4 allroad quattro, 2016",2016,2720000,"бензин, 2.0 л","249л.с.,",робот,172 702 км,WAU**************
"Audi A4 allroad quattro, 2016",2016,2850000,"бензин, 2.0 л","249л.с.,",робот,183 623 км,WAU**************
"Audi A4 allroad quattro, 2016",2016,1750000,"бензин, 2.0 л","225л.с.,",робот,230 000 км,WAU**************
"Audi A4 allroad quattro, 2020",2020,4450000,"бензин, 2.0 л","245л.с.,",робот,83 000 км,WAU**************
"Audi A4 allroad quattro, 2017",2017,1999000,"бензин, 2.0 л","249л.с.,",робот,398 000 км,WAU**************
"Audi A4 allroad quattro, 2020",2020,3990000,"бензин, 2.0 л","249л.с.,",робот,87 570 км,WAU**************
"Audi A4 allroad quattro, 2016",2016,2050000,"бензин, 2.0 л","225л.с.,",робот,184 000 км,WAU**************
"Audi A4 allroad quattro, 2019",2019,3300000,"бензин, 2.0 л","249л.с.,",робот,129 900 км,WAU**************
"Audi A4 allroad quattro, 2016",2016,2400000,"бензин, 2.0 л","249л.с.,",робот,270 000 км,WAU**************
"Audi A4 allroad quattro, 2019",2019,3350000,"бензин, 2.0 л","249л.с.,",робот,100 000 км,WAU**************
